expanded_url,count
https://www.1933hob.com/,50
https://portal.pi.gov.br/sesapi/,14
https://diariodoestadogo.com.br/,10
https://www.manaus.am.gov.br/semsa/,8
https://www1.brasilemfolhas.com.br/,6
https://www.msn.com/pt-br,4
https://www.paranaportal.com.br/,4
https://www.campograndenews.com.br/cidades/capital/farmacias-da-capital-vao-receber-denuncias-e-notificar-casos-de-dengue,2
https://www.arca.fiocruz.br/,2
https://www.gov.br/saude/pt-br/assuntos/noticias/2021/agosto/ministerio-da-saude-realiza-projeto-piloto-para-implementar-plano-nacional-de-testagem-da-covid-19,2
https://ac24horas.com/2022/03/08/governo-recomenda-uso-de-mascara-a-populacao-mesmo-com-o-fim-da-obrigatoriedade/,2
https://www.ms.gov.br/defesa-civil-emite-alerta-de-temporal-e-queda-maior-que-5c-nas-temperaturas-em-municipios-da-regiao-sudoeste/,2
https://www.campograndenews.com.br/meio-ambiente/inverno-chega-no-dia-20-com-estiagem-e-temperaturas-abaixo-dos-5oc,2
https://www.campograndenews.com.br/brasil/cidades/transito-matou-10-pessoas-em-ms-no-fim-de-semana,2
https://www.campograndenews.com.br/cidades/capital/a-3-dias-do-fim-de-campanha-vacinacao-contra-gripe-ainda-nao-alcanca-meta,2
https://www.campograndenews.com.br/meio-ambiente/umidade-relativa-do-ar-fica-em-torno-de-20-nesta-semana-na-capital,2
https://midiamax.uol.com.br/cotidiano/2022/coloca-a-mascara-tira-mascara-confira-locais-em-que-uso-ainda-e-obrigatorio-em-mato-grosso-do-sul/,2
https://bacananews.com.br/estudo-aponta-que-no-mundo-o-risco-de-cancer-antes-dos-50-anos-cresceu-de-forma-expressiva/,2
https://midiamax.uol.com.br/policia/transito/2022/violencia-no-transito-tres-mulheres-morrem-em-campo-grande-em-4-dias/,2
https://midiamax.uol.com.br/cotidiano/2022/cresce-o-numero-de-mulheres-infectadas-pela-variola-dos-macacos-em-ms/,2
https://midiamax.uol.com.br/cotidiano/2022/mato-grosso-do-sul-tem-fila-de-64-pessoas-com-suspeita-de-variola-dos-macacos/,2
https://www.campograndenews.com.br/,2
https://agenciabrasil.ebc.com.br/saude/noticia/2022-10/gripe-se-aproxima-da-covid-19-como-principal-causadora-de-srag,2
https://midiamax.uol.com.br/cotidiano/2022/com-400-novos-casos-de-dengue-em-uma-semana-ms-tem-a-10a-maior-incidencia-do-pais/,2
https://www.campograndenews.com.br/cidades/capital/temporada-de-chuva-acende-alerta-para-novos-casos-de-dengue,2
https://midiamax.uol.com.br/policia/transito/2022/violento-transito-de-campo-grande-mata-quase-tres-vezes-mais-em-um-mes/,2
https://www.camara.leg.br/noticias/916812-comissao-debate-riscos-de-desabastecimento-de-medicamento-para-tratamento-do-hiv/,2
