expanded_url,short_url
https://folhadeobidos.com.br/index.php/antena-ligada/item/8170-inmet-alerta-para-onda-de-frio-e-risco-de-tempestades-em-15-estados-incluindo-o-par%EF%BF%A1,https://bit.ly/3MzA4rb
http://ww16.portalladob.com.br/281572-cancer-de-prostata-e-a-2a-maior-causa-de-mortes-entre-homens/?sub1=20250211-2127-162f-aef4-7727ba388ccd,https://bit.ly/3utzALC
https://ww38.portalladob.com.br/283227-lacen-rj-realiza-o-diagnostico-da-meningite-em-uma-hora/?subid1=20250211-2130-411a-a5e2-92f1d77a86b8,https://bit.ly/3BtGIeR
https://d.emtempo.com.br/amazonas/322571/amazonas-inicia-utilizacao-de-novo-medicamento-para-cura-de-malaria,https://bit.ly/3tV4QSN
http://avoz.com.ar/ciudadanos/detectan-casos-de-dengue-en-formosa-y-advierten-que-en-2022-habra-mas-incidencia-en-argentina/,https://bit.ly/3lRots6
https://jornal.brasilemfolhas.com.br/2022/01/covid-19-rio-inicia-hoje-vacinacao-de-criancas/,https://bit.ly/3Ig9Sza
https://www.primeirapagina.to/noticias/casos-notificados-de-dengue-e-diagn%C3%B3sticos-de-chikungunya-crescem-no-tocantins/,https://bit.ly/3uAJWsG
https://sapobrasil.com.br/atualidade/artigos/venezuela-relata-seu-primeiro-caso-de-variola-do-macaco,https://bit.ly/3txgxjD
https://www.primeirapagina.to/noticias/casos-de-hepatite-b-crescem-mais-de-26-no-tocantins/,https://bit.ly/3zqHojF
https://www.primeirapagina.to/noticias/mais-de-61-dos-casos-suspeitos-de-monkeypox-em-palmas-s%EF%BF%BDo-em-mulheres/,https://bit.ly/3dM9uPx
http://ribunadosertao.com.br/2022/07/cobertura-vacinal-atinge-niveis-criticos-e-ameaca-saude-coletiva/,https://bit.ly/3Swsqk7
https://capitaldeminas.com.br/noticias/pesquisa-identifica-locais-com-maior-risco-de-inundacao/,https://bit.ly/3MKqmoN
