short_url,expanded_url
https://bit.ly/3iPPwTA,https://www.paginasiete.bo/sociedad/2021/8/17/fiestas-conciertos-descontrol-presagian-una-pronta-cuarta-ola-304185.html
https://glo.bo/3xWIRvg,https://oglobo.globo.com/saude/medicina/novo-caso-da-variante-lambda-no-brasil-foi-identificado-em-sequenciamento-de-rotina-25159093
https://bit.ly/2Y1klNa,https://atarde.uol.com.br/coronavirus/noticias/2186358-queiroga-anuncia-aplicacao-de-terceira-dose-a-partir-do-dia-15-de-setembro
https://bit.ly/3zpFMFw,https://boletinaldia.sld.cu/aldia/2021/08/26/brasil-aplicara-tercera-dosis-de-refuerzo-contra-la-covid-19-a-partir-del-15-de-septiembre/
https://bit.ly/3C1XBes,https://vnexplorer.net/chile-autoridades-sanitarias-de-la-araucania-confirman-caso-sospechoso-de-lepra-ez2021452297.html
https://bit.ly/3tV4QSN,https://d.emtempo.com.br/amazonas/322571/amazonas-inicia-utilizacao-de-novo-medicamento-para-cura-de-malaria
https://bit.ly/39pV9SU,https://boletinaldia.sld.cu/aldia/2021/09/20/un-descubrimiento-facilita-la-busqueda-de-un-farmaco-que-impida-la-replicacion-del-sars-cov-2/
https://glo.bo/3atbzKM,https://oglobo.globo.com/rio/nao-consigo-comer-nem-dormir-diz-vitima-de-estupro-na-cadeia-por-agente-penitenciario-1-25233272
https://bit.ly/3GafCcI,https://boletinaldia.sld.cu/aldia/2021/12/04/paises-continuan-endureciendo-restricciones-ante-la-variante-omicron/
https://bit.ly/3GoEDkp,https://www.acomarca.com.br/2021/12/mogi-registra-mais-uma-morte-por.html
https://bit.ly/3EFwIyY,https://www.primeirapagina.to/noticias/encontro-vai-abordar-os-direitos-legais-de-mulheres-com-hivaids/
https://bit.ly/3lRots6,http://avoz.com.ar/ciudadanos/detectan-casos-de-dengue-en-formosa-y-advierten-que-en-2022-habra-mas-incidencia-en-argentina/
https://glo.bo/3pUgyM2,https://extra.globo.com/noticias/rio/influenza-japeri-na-baixada-fluminense-a-segunda-cidade-do-rio-considerar-viver-epidemia-25315077.html
https://glo.bo/3q21Xhx,https://extra.globo.com/noticias/rio/secretaria-estadual-de-saude-admite-que-regiao-metropolitana-do-rio-vive-uma-epidemia-de-influenza-25319534.html
https://glo.bo/3q5YvCD,https://extra.globo.com/noticias/rio/influenza-se-aproximou-da-covid-19-em-numero-de-mortes-na-cidade-do-rio-nas-ultimas-tres-semanas-25323294.html
https://glo.bo/3JvbhmO,https://oglobo.globo.com/brasil/chuvas-em-minas-gerais-seis-pessoas-morreram-92-cidades-ja-decretaram-situacao-de-emergencia-25336031
https://glo.bo/33em4RN,https://extra.globo.com/noticias/rio/covid-19-numero-de-pacientes-internados-aumentou-300-na-capital-em-duas-semanas-25345900.html
https://bit.ly/3Ig9Sza,https://jornal.brasilemfolhas.com.br/2022/01/covid-19-rio-inicia-hoje-vacinacao-de-criancas/
