short_url,expanded_url
https://bit.ly/3sFuhrg,https://midiamax.uol.com.br/cotidiano/economia/2022/combate-incendios-florestais-tera-duas-aeronaves-do-governo-do-estado/
https://www.campogrande.ms.gov.br/cgnoticias/noticia/campanha-de-vacinacao-antirrabica-comeca-nesta-terca-feira-na-capital/,https://www.campogrande.ms.gov.br/cgnoticias/noticia/campanha-de-vacinacao-antirrabica-comeca-nesta-terca-feira-na-capital/
https://bit.ly/3lUcz1t,https://www.campograndenews.com.br/cidades/capital/queimada-atinge-casa-de-festas-e-empresario-estima-r-80-mil-de-prejuizo
https://bit.ly/3g4FlsE,https://www.ms.gov.br/com-safra-do-milho-atingida-por-geada-e-estiagem-produtores-aceleram-colheita-para-garantir-seguro/
https://bit.ly/3g7mn4w,https://www.campograndenews.com.br/cidades/capital/policia-tem-suspeito-de-estuprar-jovem-que-precisou-de-cirurgia
https://bit.ly/3sjQ0UY,https://midiamax.uol.com.br/cotidiano/2021/frente-parlamentar-discute-formas-de-combate-contra-queda-no-nivel-dos-rios-de-ms/
https://bit.ly/3m6uVwh,https://midiamax.uol.com.br/cotidiano/2021/com-novas-mortes-entre-idosos-ms-pede-aplicacao-de-3-dose-da-vacina/
https://bit.ly/3CS1lk8,https://midiamax.uol.com.br/cotidiano/2021/pela-1-vez-em-oito-meses-ms-esta-fora-da-zona-de-alerta-em-ocupacao-das-utis-covid/
https://bit.ly/3iQiZwL,https://www.gov.br/saude/pt-br/assuntos/noticias/2021/agosto/ministerio-da-saude-realiza-projeto-piloto-para-implementar-plano-nacional-de-testagem-da-covid-19
https://bit.ly/3yS8u1s,https://midiamax.uol.com.br/policia/2021/escolas-sao-ambientes-de-refugio-em-cidade-que-ja-registrou-214-casos-de-estupro-neste-ano/
https://bit.ly/2VYr6y4,https://www.correiodobrasil.com.br/a/clima-severo-impoe-racionamento-agua-estados-sul-sudeste-centro-oeste
https://bit.ly/3xXetAG,https://midiamax.uol.com.br/cotidiano/2021/apos-10-meses-1-paciente-do-ambulatorio-pos-covid-da-apae-recebe-alta/
https://bit.ly/2VZwgKA,https://www.campograndenews.com.br/brasil/cidades/com-reducao-na-imunidade-3a-dose-de-vacina-para-idosos-deve-se-confirmar
https://bit.ly/2W3co8Z,https://midiamax.uol.com.br/politica/transparencia/2021/investigacao-apura-se-superbacteria-aumentou-mortes-por-covid-19-em-hospitais-de-campo-grande/
https://bit.ly/3AOK21z,https://www.campograndenews.com.br/meio-ambiente/operacao-contra-fogo-no-pantanal-combate-chamas-na-nhecolandia
https://bit.ly/3sr0wdq,https://www.laestrella.com.pa/panama/nacional/variante-delta-tambalear-cuota-cobertura-HILE453523
https://bit.ly/2UnKwMq,https://www.campogrande.ms.gov.br/cgnoticias/noticia/circulando-por-nove-bairros-fumace-intensifica-acoes-de-combate-ao-aedes/
